academic_program_code,alias_type,alias_name,normalized_alias_name,source
U04010200093,display_name,공과대학 건설융합학부 건축학전공,공과대학건설융합학부건축학전공,2026_department_classification
U04010300027,official_name,조경학과(한국조경사회),조경학과(한국조경사회),2026_department_classification
U04010300027,display_name,생명자원과학대학 조경학과(한국조경사회),생명자원과학대학조경학과(한국조경사회),2026_department_classification
U04010300027,parent_department_name,조경학과,조경학과,2026_department_classification
U04010300027,major_name,한국조경사회,한국조경사회,2026_department_classification
U04020100047,official_name,토목공학과,토목공학과,2026_department_classification
U04020100047,display_name,공과대학 토목공학과,공과대학토목공학과,2026_department_classification
U04020100136,official_name,사회환경시스템공학부 토목공학전공,사회환경시스템공학부토목공학전공,2026_department_classification
U04020100136,display_name,공과대학 사회환경시스템공학부 토목공학전공,공과대학사회환경시스템공학부토목공학전공,2026_department_classification
U04020100166,official_name,건설융합학부 토목공학전공,건설융합학부토목공학전공,2026_department_classification
U04020100166,display_name,공과대학 건설융합학부 토목공학전공,공과대학건설융합학부토목공학전공,2026_department_classification
U04020200003,official_name,도시공학과,도시공학과,2026_department_classification
U04020200003,display_name,공과대학 도시공학과,공과대학도시공학과,2026_department_classification
U04020200039,official_name,건설융합학부 도시공학전공,건설융합학부도시공학전공,2026_department_classification
U04020200039,display_name,공과대학 건설융합학부 도시공학전공,공과대학건설융합학부도시공학전공,2026_department_classification
U04020200075,official_name,스마트시티전공,스마트시티전공,2026_department_classification
U04020200075,display_name,공과대학 스마트시티전공,공과대학스마트시티전공,2026_department_classification
U04030200017,official_name,항공우주공학과,항공우주공학과,2026_department_classification
U04030200017,display_name,공과대학 항공우주공학과,공과대학항공우주공학과,2026_department_classification
U04030300062,official_name,해양학과,해양학과,2026_department_classification
U04030300062,display_name,자연과학대학 해양학과,자연과학대학해양학과,2026_department_classification
U04030300075,official_name,조선·해양공학과,조선·해양공학과,2026_department_classification
U04030300075,display_name,공과대학 조선·해양공학과,공과대학조선·해양공학과,2026_department_classification
U04030300077,official_name,조선·해양공학과(삼성중공업),조선·해양공학과(삼성중공업),2026_department_classification
U04030300077,display_name,공과대학 조선·해양공학과(삼성중공업),공과대학조선·해양공학과(삼성중공업),2026_department_classification
U04030300077,parent_department_name,조선·해양공학과,조선·해양공학과,2026_department_classification
U04030300077,major_name,삼성중공업,삼성중공업,2026_department_classification
U04030300133,official_name,조선・해양공학과,조선・해양공학과,2026_department_classification
U04030300133,display_name,공과대학 조선・해양공학과,공과대학조선・해양공학과,2026_department_classification
U04040100012,official_name,기계공학부,기계공학부,2026_department_classification
U04040100012,display_name,공과대학 기계공학부,공과대학기계공학부,2026_department_classification
U04050100006,official_name,전기공학과,전기공학과,2026_department_classification
U04050100006,display_name,공과대학 전기공학과,공과대학전기공학과,2026_department_classification
U04050100058,official_name,발전공학과,발전공학과,2026_department_classification
